FEN,Result
...f.....dab....c.e.............54..13.2.....F...,0
...f.....dab....c.e..........3...4..1..2.....F...,0
...f.....d.b....c.e......a...31.24...........F...,0
...f.....d.b....c.......1....3...e...........F...,0
...f....dceba.......................43125....F...,1
...f..a.dc.b......e..............5...312...4.F...,1
...f.....c.ba...d.e..........3..15.....2...4.F...,1
...f.....c.b....d.e........a.3.215.4.........F...,1
...f.....c.b......e.....d....3...1.4.........F...,1
...f.....c.b......e...d......4...1...........F...,1
...f............4be..............1...........F...,1
...f............e........1...................F...,1
...f....ebdca.......................52134....F...,0
...f.....bdca.........e..............2134....F...,0
...f.....b.ca...e.d.............34...21......F...,0
...f.....b.ca...e.d..........21.34...........F...,0
...f.....b.ca...e.d...1......2...4...........F...,0
...f.......ca...b.........d..2...............F...,0
...f....adbce.......................54123....F...,0
.a.f.....dbc......e..........5.4......123....F...,0
.a.f.....dbc....e............5...3....12.....F...,0
...f....ad.c....e.b..........5.213...........F...,0
...f....ad.c..........e.b.......13...........F...,0
...f....ad.c....e.b......31..................F...,0
...f....bdaec.......................23541....F...,0
...f.....dae....b.c.............51..23.4.....F...,0
...f.....d......bae..............1..23.4.....F...,0
...f.....d......bae..........3..41..2........F...,0
...f.....d......ba...........3e..1...........F...,0
...f.....d......ba........1...e..............F...,0
...f....dbaec.......................12435....F...,0
...f.....bae....d.c............3.5..124......F...,0
...f.....b.e.....ac.....d......3.5..12.......F...,0
...f.....b.e.....ac..........2d..5...........F...,0
...f....bdeac.......................52314....F...,0
...f.....d.ac...b.e..........5.3.....2.14....F...,0
...f.....d..c...ba......e....5...4...2.1.....F...,0
...f.....d......bac...........5..4.....1.....F...,0
...f.....d......b.c.............a4...........F...,0
...f.....d......b.c.....4....................F...,0
...f....daecb.......................52431....F...,0
...f.....a.cb...d.e..........54......2.31....F...,0
...f.......cb....ae.....d....5...3...2..1....F...,0
...f.......cb...a.e...........5..3......1....F...,0
...f.......cb.....e.............a3...........F...,0
...f....abdec.......................34521....F...,1
...f.....b.ec.a...d................3..521...4F...,1
...f.....b.ec...a.d.....5..........3...21...4F...,1
...f.....b.c....a.e..........3.........21...4F...,1
...f.......c....b.e....3.........2......1...4F...,1
...f.............e...............2......1...4F...,1
...f.......e....................12...4.......F...,1
...f.......e............1....4...2...........F...,1
...f....adebc.......................23451....F...,1
...f.....d.bc...a.e.............45..23..1....F...,1
...f.......bc...d.e....3........45..2...1....F...,1
...f.......bc.....e.....d........5..2...1....F...,1
...f.....d.bc.....e..........2..15...........F...,1
...f.......b....d.c..........2...5...........F...,1
...f.......b....d.5..........2...............F...,1
...f....acebd.......................41352....F...,1
...f.....c.bd...a.e...........1..5..4.3.2....F...,1
...f.......bd...c.e....1.....4...5....3.2....F...,1
...f........d....be....4........35......2....F...,1
...f........d...........e........5......2....F...,1
...f..............d.............5............F...,1
...f.............5d..........................F...,1
...f....baedc.......................31542....F...,0
...f....ba.d....e.c.............5...31..2....F.4.,0
...f....ba.d....e.c..........3.......1..2....F.4.,0
...f.....b.d....eac..........3...2...1...4...F...,0
...f.....b.d....e........c...31..........4...F...,0
...f.....b.d....e.......c....3...4...........F...,0
...f.....b......e.d..........3...............F...,0
...f....bdace.......................45231....F...,0
...f....bdace...............4........52.1....F.3.,0
...f.....dac....b.e...4......5........2.1....F.3.,0
...f.....a.c....d.e..........5..2.......1....F.3.,0
...f.......c.....ae.....d....5...1...........F.3.,0
...f.....a.c....d.e..........5..31...........F...,0
...f.....a.c....d.e...5..........1...........F...,0
...f.....a.c......e......1...................F...,0
...f....ceadb.......................54321....F...,0
...f....ceadb................5.4......321....F...,0
...f......adb...e............5........321....F...,0
...f.....a.d....e.b..........53..2......1....F...,0
...f.....a.d....e.b..........5..12...........F...,0
...f.....a.d...........eb........2...........F...,0
...f....ceadb.......................32541....F...,0
...f....c.adb...e................4..325......F1..,0
...f.....cadb...........e........4..32.......F1..,0
...f.....cad....e.b..........32..4...........F1..,0
...f.....cad....e.b..........3...4.....1.....F...,0
...f.....c.d....e.b.....a....3...4...........F...,0
...f.....c......e.d..........3.a.............F...,0
...f....cdbae.......................31542....F...,0
...f.....dba....c.e.............54..31..2....F...,0
...f.....dba....c.e..........3...4...1..2....F...,0
...f.....d.a....c.e.....b....3...4...1.......F...,0
...f.....d......cae...........3..4...........F...,0
...f....bedac.......................13254....F...,0
...f.....e.ac...b.d.............45..132......F...,0
...f.....e..c...ba......d....3...5..1.2......F...,0
...f.....e..c...b........a...3d.....1........F...,0
...f....daecb.......................24531....F...,0
...f.....a.cb...d.e..........4..5...2..31....F...,0
...f.....a.cb...d.e..........4...3..2...1....F...,0
...f.....a.cb...d.e..........42.13...........F...,0
...f.....a.cb...d.e.......1..4...3...........F...,0
...f.....a.c......b...d..........3...........F...,0
...f....adcbe.......................43521....F...,0
...f....ad.b....c.e...........5.1...43.2.....F...,0
...f.....d.b..a.c.......e....4..1....3.2.....F...,0
...f.....d.b..a..............4c........2.....F...,0
...f.....d.b....a.......4..............2.....F...,0
...f............d.b..............2...........F...,0
...f....acbde.......................35241....F...,0
...f....acbde....................1..352......F4..,0
...f....ac.d....b.e..........5..21..3........F4..,0
...f.....c.d..a.b.......e....5..21...........F4..,0
...f....ac.d....b............5..1......4.....F...,0
...f....ac........d.....b....5...4...........F...,0
...f.....c......a.d..............4...........F...,0
...f....bcade.......................32451....F...,0
...f.....cad....b.e...........4..5..32..1....F...,0
...f.....c.d....ba......e....3...5...2..1....F...,0
...f.....c.d....ba...........e..15...........F...,0
...f....bacde.......................24513....F...,1
...f....ba.d....c.e..........4..5...2..13....F...,1
...f....ba.d....c.e..........4...3..2..1.....F...,1
...f....b..d.....ae.....c....4...3.....1.....F...,1
...f.......d....bae..........4..3............F...,1
...f.......d....bae...4......................F...,1
...f.....4.......de..........................F...,1
...f....cebad.......................32451....F...,0
...f.....eba....c.d...........4..5..32..1....F...,0
...f.....e.a....cb......d....3...5...2..1....F...,0
...f.....e.a....cb...........d..15...........F...,0
...f.....e.a....c.......b.5..........d.......F...,0
...f....badec.......................52143....F...,1
...f....ba.e....d.c..........5....3..214.....F...,1
...f....b..e....da........c..5...4...21......F...,1
...f.....b......dae.......4..5..1....2.......F...,1
...f.....b......d.a.......1..52..............F...,1
...f......b.....d............52..............F...,1
...f......b.....d.....5......................F...,1
...f......5b.................................F...,1
...f....caebd.......................31524....F...,0
...f....ca.b....e.d.............54..31.2.....F...,0
...f....ca.b....e.d..........3...4...1.2.....F...,0
...f....c..b....ea......d....3...4...1.......F...,0
...f....c..b....ea........4..d...............F...,0
...f....acdeb.......................45312....F...,0
...f....ac.e....d.b..........54.......312....F...,0
...f.....c.e..a...b.....d....5..3......12....F...,0
...f.....c.e..a...b..........5.1.d...........F...,0
...f.....c.e..a........5b..............d.....F...,0
...f....adecb.......................25143....F...,1
...f.c..ad..b...e............5.1....2..43....F...,1
...f....ad.c....e.b..........5.134..2........F...,1
...f.....d.c..a...b.....e....521.4...........F...,1
...f....ad.c............2....5...4...........F...,1
...f....ad........c....5.........4...........F...,1
...f.....a........c..............4...........F...,1
...f.....a........4..........................F...,1
...f....cdbea.......................14523....F...,0
...f.....dbe....c..a..........5..3..14.2.....F...,0
...f.....dbe....c.......a....4...3..1..2.....F...,0
...f.....d.e....cba..........41.23...........F...,0
...f.....d.e....c.a....b.....4...3...........F...,0
...f.......e....d........a.......3...........F...,0
...f....aedbc.......................12453....F...,0
..af.....e.bc...d...............4...12..3....F.5.,0
..af.....e.b......c.....d........3..12.......F.5.,0
...f....ae.b....d.c..........2...3..1..5.....F...,0
...f.....e.b....d.c..a..5....2...3..1........F...,0
...f............ebc..2...........3..1........F...,0
...f............ebc..........1...3...........F...,0
...f....cedba.......................51234....F...,0
...f....ce.b....d.a..........5........234..1.F...,0
...f....ce.b....d.a..........5..24.....3...1.F...,0
...f....ce.b.....a......d....5..24.........1.F...,0
...f.....e.b....ca....5.........4..........1.F...,0
...f.......b.....a......e..................1.F...,0
...f.......b....a.e..........1...............F...,0
...f....bdcae.......................32541....F...,0
...f....bd.a....c.e...........5..4..32..1....F...,0
...f....bd.a....c.e..........3...4...2..1....F...,0
...f....bd.a....c.e..........32.14...........F...,0
...f....bd.a......e......c...3...4...........F...,0
...f....bd.a......e....3.....................F...,0
...f....aedcb.......................54132....F...,0
...f....ae.c....d.b..........54.......132....F...,0
...f.....e.c..a...b.....d....5...3....1.2....F...,0
...f.....e.c..a...b..........51..d...........F...,0
...f.....e.c..a........5b..............d.....F...,0
...f....adebc.......................21453....F...,1
...f...a.d.bc.....e..............53.214......F...,1
...f....ad.bc.............e.....45..21.......F...,1
...f.....d.b....a.5.............4...21.......F...,1
...f....daebc.......................32541....F...,0
...f......ebc...da.............54...32..1....F...,0
...f.......bc...d.e.....a.......4....2..1..3.F...,0
...f.......bc...d.e..........2..........1..3.F...,0
...f.......bc...d.e..........2...1.3.........F...,0
...f.......bc.....e..........d...1...........F...,0
...f....bcead.......................51234....F...,1
...f....bc.a....e.d..........5...4...123.....F...,1
...f....bc.a....e.d..........52.34...1.......F...,1
...f....bc.a....e............5d1.4...........F...,1
...f....bc......e.......a......1.4...........F...,1
...f..........b.c................4...........F...,1
...f.....b......c..4.........................F...,1
...f4...........c.b..........................F...,1
...f....cdbea.......................12435....F...,0
...f....cdbea..................3.5..124......F...,0
...f.....d.ea...c.b.....4......3.5..12.......F...,0
...f.......ea.....b.....d........5..12.......F...,0
...f.....d.ea.....b..........21..5...........F...,0
...f.....d.ea.....b......5...2...............F...,0
...f.......e....d.a...2......................F...,0
...f....ebcda.......................32541....F...,0
...f.....b.da...e.c.............54..32..1....F...,0
...f.....b.da...e.c..........3...4...2..1....F...,0
...f.....b.d....e.c........a.32.14...........F...,0
...f.....b.d....e.c.......4..32.1............F...,0
...f.....b......e.......d....3..1............F...,0
...f.....b........d...e...1..................F...,0
...f....edbac.......................41253....F...,0
...fb....d.ac...e................5..41..3....F2..,0
...f.....dba....e.c..........4..35...1.......F2..,0
...f.....dba....e............4c..5...........F2..,0
...f.....d.a......b.....e........5...........F2..,0
...f.....d......e.a..........................F2..,0
...f.....d......e.a..............2...........F...,0
...f.....d......e.a2.........................F...,0
...f....ebdca.......................43215....F...,0
...f.....b.ca...e.d..........4...5...321.....F...,0
...f.....b.ca...e.d..........423.5.....1.....F...,0
...f.....b.ca...e............4d.15...........F...,0
...f.....b.c......a.....e.......15...........F...,0
...f.....b.c......a.......5..................F...,0
...f....adcbe.......................51342....F...,0
...f....ad.b....c.e..........5...4...13.2....F...,0
...f.....d.b..a...e.....c....5...4...1..2....F...,0
...f....ad.b......e..........5..4....1.......F...,0
...f....ad.b......e..........51..............F...,0
...f.....d......a.b..........5...............F...,0
...f....cdabe.......................51342....F...,0
...f.....dab....c.e..........5...4...13.2....F...,0
...f.....d.b.....ae.....c....5...4...1..2....F...,0
...f.....d.b....a.e..........5..4....1.......F...,0
...f.....d.b....a.e..........51..............F...,0
...f.....d.b....a.e...5......................F...,0
...f....ebdca.......................13245....F...,0
...f.a...bdc....e................4..132......F5..,0
...f.....b.ca...e.d..........32..4..1........F5..,0
...f.....b.ca...e.d..........32.54..1........F...,0
...f.....b.ca...e.d...2......3...4..1........F...,0
...f.......ca...b.d...1......3...4...........F...,0
...f.......ca.........b3.d...................F...,0
...f.......c......d.a..3.....................F...,0
...f....ecbda.......................35412....F...,0
...f.....c.da...e.b..........5..4...3..12....F...,0
...f.....c.da.....b..........5e........12....F...,0
...f.....c.da.....b.....5..............12....F...,0
...f.......d....c.a..............2.....1.....F...,0
...f.....c.d............a........2...........F...,0
...f....ecdba.......................14325....F...,0
...f.....c.ba...e.d............4.5..1.32.....F...,0
...f.....c.ba...e...............d5..1..2.....F...,0
...f.....c.b....e.......a...........1..2.....F...,0
...f.....c.b....e........a...1...2...........F...,0
...f............ec2..........1...............F...,0
...f............e.c....1.....................F...,0
...f....ceabd.......................53214....F...,0
.e.f....c..bd....a...........5.1.....32.4....F...,0
.e.f.d..c..b.............a...5.......324.....F...,0
...f....ce.bd............4...5.......32......F...,0
...f....c..b.....ed..........52......3.......F...,0
...f....c..b....e.......d....52..............F...,0
...f....eabcd.......................23541....F...,0
...f.....abc....e.d...........5..4..23..1....F...,0
...f.....abc....e.d..........3...4..2...1....F...,0
...f.....a.c....e.d....b.....32.14...........F...,0
...f.....a.c......d.....1....e...4...........F...,0
...f....bedac.......................24351....F...,0
...f.....e.ac...b.d............4.5..2.3.1....F...,0
...f.....e.ac...b...............d5..2...1....F...,0
...f.....e......bac.....5...........2...1....F...,0
...f.....e.a....b............2..........1....F...,0
...f.....e........a...b..........1...........F...,0
...f....cdaeb.......................23145....F...,0
...f.....dae.b..c...............4...231......F..5,0
...f.....dae....c.b.............45..231......F...,0
...f.....d.e....c.b....a4....3...5..2.1......F...,0
...f.......e......b....d.........5..2.1......F...,0
...f.......e......b...........d..5...........F...,0
...f....dcbea.......................52341....F...,1
...f.....c.ea...d.b..........5...4...23.1....F...,1
...f.....c.e......b.a...d....5...4...2..1....F...,1
...f.....c.e......b........a..5..4......1....F...,1
...f............c.be..........5.........1....F...,1
...f.......e....5b......................1....F...,1
...f............e................1...........F...,1
...f............e1...........................F...,1
...f....aedcb.......................53412....F...,0
...f....ae.cb.....d..........5.......341.2...F...,0
...f.....e.cb...a.......d....5.......3.1.2...F...,0
...f.....e.c....a.b...........5........1.2...F...,0
...f.....e.c....a.b..............2.....1.....F...,0
...f.....e.c......b.....a........2...........F...,0
...f....ecbda.......................12435....F...,0
...f.....c.da...e.b.............45..12.3.....F...,0
...f.....c.da.....b.............e5..12.......F...,0
...f.....c.da.....b.....5...........12.......F...,0
...f.......d....c.a..........2......1........F...,0
...f.....c.d............a....2...............F...,0
...f....debac.......................12453....F...,0
...f.....eba....d.c.............45..12..3....F...,0
...f.....eba......c.............d5..12.......F...,0
...f.....e......bac.....5...........12.......F...,0
...f.....e.a....b............2......1........F...,0
...f.....e......b.......a....2...............F...,0
...f....dceab.......................51234....F...,1
...f.....c.ab...d.e..........5...4...123.....F...,1
...f.....c.b....dae..........52.34...1.......F...,1
...f.....c.b.....ae..........5d1.4...........F...,1
...f.....c.b......e.....a......1.4...........F...,1
...f............c.b..............4...........F...,1
...f............c.b......4...................F...,1
...f......4.....c............................F...,1
...f....cabde.......................54123....F...,0
...f.....abd....c.e..........54.......123....F...,0
...f.....a.d....cb......e....5...3....12.....F...,0
...f.....a.d....c.e....b.....51.23...........F...,0
...f.......d....a.e...........1.23...........F...,0
...f.......d............a........3...........F...,0
...f............a.d......3...................F...,0
...f....edcba.......................24513....F...,0
...f.....d.ba...e.c..........45.....2..13....F...,0
...f.....d.ba...e.c..........4...3..2..1.....F...,0
...f.....d.b....e...a...c....4...3.....1.....F...,0
